"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"LINEAUSDT","11","04-24 23:00","328","0.74","0.72","68","3.5","-7.4",,"0.0025","0.82","0.8","30","1.5","-9.3",,"0.002"
"QUSDT","35.6","04-21 21:00","327","0.72","0.28","80","24.8","-49.8",,"0.0097","0.87","0.29","63","18.7","-50.7",,"0.005"
"ARIAUSDT","212.1","04-09 10:00","326","1.14","1.89","82","132.2","-6.8",,"-0.6343","1.14","0.69","29","79.5","-23.7",,"-0.4047"
"TAKEUSDT","58.2","04-16 06:00","326","1.28","1.3","51","62.2","-17",,"0.0104","2.92","1.48","37","62.2","-25",,"0.005"
"PTBUSDT","57.3","04-03 20:00","326","0.92","0.15","13","-19.9","-74.6",,"0.0108","1.93","0.27","5","-13.4","-73.3",,"0.0159"
"OPENUSDT","21.7","04-13 05:00","320","1.31","0.38","39","13.9","-15.5",,"0.005","0.87","0.57","44","11.7","-12.3",,"0.005"
"FLOCKUSDT","12","04-15 00:00","320","0.99","1.84","70","10.8","-6.4",,"0.005","0.79","1.14","63","6.5","-8.2",,"0.005"
"SKYUSDT","8.2","04-21 14:00","320","1.23","1.42","87","8.8","-3.5",,"0.005","0.9","1.21","71","3.3","-4.8",,"0.0028"
"AVNTUSDT","20.7","04-25 23:00","319","0.44","0.61","26","1.9","-13.2",,"0.0039","0.9","0.71","64","3.9","-10.9",,"0.0029"
"HOLOUSDT","27.2","04-12 11:00","318","1.6","0.64","3","4.2","-9.2",,"0.0035","0.91","1.29","11","6.6","-5.7",,"0.0003"
"XPINUSDT","31.6","04-13 02:00","317","0.95","0.18","15","9.4","-30.7",,"0.0086","2.2","0.34","25","16.4","-27.2",,"0.0063"
"UBUSDT","119.8","05-01 06:00","317","0.45","1.72","76","94.5","-9.9",,"-0.0008","0.51","0.76","90","131.3","-13.7",,"0.005"
"ZKCUSDT","8.6","04-28 02:00","313","1.93","2.15","21","2.1","-13.2",,"-0.0039","0.76","2.75","64","13.5","-8.2",,"-0.0052"
"TOSHIUSDT","9","04-07 06:00","312","0.88","0.97","29","-14.8","-17.7",,"0.0026","0.91","0.72","61","-10.4","-15.4",,"0.0026"
"STBLUSDT","23.2","04-02 10:00","312","1.97","1.69","7","-14.7","-27.9",,"0.005","0.62","1.22","31","-4.2","-19.5",,"0.005"
"0GUSDT","17.7","04-12 03:00","311","0.65","0.59","41","13.5","-3.9",,"-0.0061","0.51","0.39","66","15.7","-4.1",,"-0.0251"
"BARDUSDT","10.6","04-06 22:00","311","0.65","0.51","47","-36.7","-40.2",,"-0.09","1.24","3.46","18","-37.3","-41.2",,"-0.1328"
"ASTERUSDT","6.3","04-28 12:00","310","1.36","0.76","2","-7.5","-9.8",,"-0.0049","1.62","1.2","58","-1.4","-7.3",,"-0.0089"
"TRADOORUSDT","152","04-11 17:00","310","29.82","4.16","13","-20.1","-56.5",,"-0.0494","26.1","11.75","75","57.6","-15.6",,"-0.051"
"BLESSUSDT","247.9","04-12 23:00","306","3.37","7.36","62","61.4","-13",,"0.0057","1.69","2.71","88","50.7","-2.9",,"0.005"
"FLUIDUSDT","22.4","04-21 19:00","305","2.2","2.71","37","1.7","-25",,"0.0041","2.26","2.8","60","2.4","-22.1",,"0.0037"
"COAIUSDT","87.8","04-13 05:00","304","2.06","3.3","33","6.9","-10.6",,"0.0066","1.45","2.09","92","16.4","-1.2",,"0.0071"
"HANAUSDT","19.8","04-13 23:00","303","1.41","1.71","78","-3","-12.3",,"0.0296","2.85","1.77","73","-2.8","-13",,"0.0108"
"MIRAUSDT","15.5","04-25 05:00","303","1.14","0.87","84","6.5","-5.9",,"0.005","0.8","0.74","44","7.3","-7.8",,"0.0041"
"AKEUSDT","86.1","04-09 00:00","303","1.34","0.5","13","7.4","-24.9",,"0.0137","0.98","0.51","38","13.3","-19.3",,"0.0118"
"ORDERUSDT","29","04-05 07:00","303","0.44","0.3","25","-15.3","-24.5",,"0.005","0.59","0.3","84","-10.4","-22.6",,"0.005"
"LIGHTUSDT","27.6","04-16 23:00","302","3.55","1.57","54","20.7","-48.4",,"0.039","3.65","2.02","63","15.2","-51.9",,"0.0413"
"XANUSDT","40","04-13 23:00","300","3.83","3.98","22","-0.7","-29.9",,"0.0015","3.24","4.69","27","-5","-32.2",,"0.0006"
"FFUSDT","102.8","04-09 18:00","299","1.13","1.8","32","0.6","-3.5",,"-0.1548","1.79","1.61","77","0.3","-2.9",,"-0.1597"
"EDENUSDT","20.7","04-02 03:00","299","1.28","1.49","77","-9.9","-10.7",,"0.005","0.79","2.01","52","-19.8","-16.6",,"0.0049"
"NOMUSDT","72.7","04-01 09:00","298","12.9","2.25","81","110","-9.8",,"-0.0116","9.72","4.78","50","27.3","-24.1",,"-0.2782"
"TRUTHUSDT","10.6","04-13 07:00","298","1.86","0.68","6","-4.9","-13.8",,"0.005","1.9","1.63","25","9.7","-7",,"0.005"
"2ZUSDT","17.2","04-16 04:00","297","0.8","0.5","87","9.7","-8.3",,"-0.0092","0.86","0.5","57","-1","-12.9",,"-0.0054"
"EVAAUSDT","58.1","04-12 23:00","296","2.39","3.51","32","53.6","-14.7",,"0.0528","2.99","4.45","40","41.1","-17.4",,"0.0425"
"LYNUSDT","60.5","04-14 20:00","293","1.11","0.78","51","9.8","-47.9",,"0.0234","0.77","0.61","18","-10.4","-51.8",,"0.0428"
"KGENUSDT","21.1","04-24 00:00","291","1.47","0.74","64","-4.7","-22.6",,"0.005","0.68","0.57","21","-4.8","-28",,"0.005"
"4USDT","36.1","04-07 23:00","291","1.7","3.63","61","48.1","-11.8",,"0.0325","2.67","1.36","94","81.1","-2.3",,"0.0235"
"GIGGLEUSDT","41.4","04-12 07:00","290","2.95","1.74","45","27.4","-13.1",,"0.0039","2.95","0.96","69","18.9","-5.5",,"0.0044"
"MONUSDT","23.3","04-07 13:00","289","1.07","1.19","4","16.8","-11.7",,"0.0049","1.01","1.13","83","33","-1.9",,"0.005"
"YBUSDT","48.8","04-17 05:00","288","1.4","0.69","63","-12.6","-19.7",,"0.005","0.78","0.88","84","16.5","-23.1",,"0.005"
"METUSDT","34.8","04-21 00:00","288","0.52","0.56","91","10.3","-12.3",,"0.0037","0.45","0.51","2","8.6","-16.3",,"0.0037"
"EULUSDT","28.2","04-16 06:00","285","0.88","0.97","66","22.2","-5.9",,"0.005","1.69","0.86","33","17","-11.4",,"0.005"
"ENSOUSDT","42.3","04-25 05:00","285","1.13","1.66","32","-14","-34.3",,"-0.0319","1.76","1.24","60","-12.3","-32.4",,"-0.021"
"CLOUSDT","36.2","04-21 03:00","285","0.84","0.4","51","28.8","-21.7",,"0.0232","1.69","1.12","38","20.9","-17.6",,"0.0451"
"RECALLUSDT","15.6","04-16 16:00","284","0.59","0.44","77","22.1","-4.6",,"0.005","0.7","0.75","20","18.4","-8.2",,"0.005"
"ZBTUSDT","74","04-25 17:00","282","3.93","7.59","62","32.1","-13.2",,"0.005","2.16","1.91","95","12.9","-1.1",,"0.005"
"LABUSDT","372.7","05-01 16:00","281","0.21","0.14","59","23.7","-28.8",,"0.014","0.47","0.16","29","40.6","-31.8",,"0.0108"
"RIVERUSDT","25.5","04-20 07:00","281","3.61","0.8","2","-49.8","-84.3",,"0.0169","1.21","0.58","7","-52.6","-82.9",,"0.0425"
"BLUAIUSDT","44.9","04-06 18:00","278","0.21","0.19","41","-1.1","-37.3",,"0.0094","0.14","0.14","69","-12.5","-36.6",,"0.0258"
"TURTLEUSDT","23.3","04-27 03:00","276","0.65","1.06","80","20.9","-6.9",,"0.005","0.7","0.96","64","16.3","-9.9",,"0.005"
"APRUSDT","67.1","04-14 01:00","276","0.32","0.16","63","13.7","-25.1",,"0.0475","0.52","0.2","54","11.2","-29.2",,"0.0393"
"ONUSDT","95","04-12 23:00","275","0.38","0.31","87","-16.6","-66.3",,"0.0248","0.53","0.31","43","-10.1","-68",,"0.0241"
"KITEUSDT","20.8","04-06 03:00","270","1.85","0.93","12","-40.9","-46.8",,"0.005","1.49","1.11","70","1.1","-39.8",,"0.003"
"ATUSDT","17.7","05-01 17:00","270","0.94","0.4","81","-0.3","-13.1",,"0.005","0.8","0.56","56","0.7","-13.9",,"0.005"
"CCUSDT","9","04-08 22:00","268","0.71","1.19","7","-1.7","-11.7",,"0.005","0.98","1.36","44","3","-10",,"0.0043"
"MMTUSDT","34.9","04-04 13:00","264","1.08","0.91","94","-13.2","-4.5",,"0.003","0.82","1.03","74","-15.9","-5.9",,"0.0039"
"TRUSTUSDT","29.1","04-14 08:00","263","0.88","0.56","78","12.4","-7.2",,"0.005","0.44","0.28","10","-0.1","-16.9",,"0.005"
"UAIUSDT","86.3","04-20 10:00","262","0.57","0.36","57","9.5","-34.9",,"0.005","0.57","0.41","7","1.9","-38.2",,"0.005"
"FOLKSUSDT","41","04-13 04:00","262","2.17","0.38","91","-6.2","-22.8",,"0.0054","1","0.25","52","-20.3","-29.9",,"0.005"
"STABLEUSDT","52.1","04-23 01:00","262","1","1.02","31","2","-29.5",,"-0.0081","0.42","0.39","73","0.2","-27.7",,"-0.0338"
"JCTUSDT","64.2","04-03 12:00","258","1.52","1.44","46","-14.5","-55.1",,"0.011","0.87","0.84","66","-16.8","-51.7",,"0.009"
"ALLOUSDT","22.5","04-20 05:00","256","1.44","0.66","30","-4.7","-17.3",,"0.005","1.44","0.77","6","0.1","-18.2",,"0.005"
