"symbol","d1","d7","d30","runup","bars","price"
"VANAUSDT","0.1","2.3","9","27.6","31","1.227"
"PENGUUSDT","-0.5","-5.6","-4.5","18.6","31","0.005931"
"LUMIAUSDT","0","-0.2","-41.9","81.7","31","0.06902"
"USUALUSDT","-0.2","-8.9","-13.1","19.8","31","0.00811"
"AIXBTUSDT","0.5","-8.9","-9.4","18.3","31","0.01706"
"FARTCOINUSDT","0.3","-8.5","-11.5","38.4","31","0.1243"
"KMNOUSDT","-1.8","3.9","-1.5","21.2","31","0.01891"
"CGPTUSDT","-0.3","-10.5","-3.7","17.7","31","0.01784"
"HIVEUSDT","-0.3","-9","-13.5","13.9","31","0.04367"
"DEXEUSDT","-3.3","-30.7","-87.6","679.4","31","2.881"
"PHAUSDT","-0.5","-10","-31.1","25","31","0.02045"
"GRIFFAINUSDT","0.1","-9.4","-12.2","25.3","31","0.007909"
"ZEREBROUSDT","-0.7","7.9","-0.3","54.5","31","0.039372"
"BIOUSDT","0","-13.1","-17.1","18.4","31","0.02324"
"COOKIEUSDT","0.2","-4.4","-9.2","34.8","31","0.00816"
"ALCHUSDT","0","-0.7","-60.5","79","31","0.02745"
"SWARMSUSDT","-0.4","-5.9","-5.8","31.5","31","0.006426"
"SONICUSDT","-0.6","-10","-17.8","20.2","31","0.02077"
"PROMUSDT","1.1","37.8","85.6","141.3","31","2.094"
"SUSDT","-0.5","-12.4","-12","30.1","31","0.02154"
"SOLVUSDT","0","-8.6","-18.9","32.5","31","0.002346"
"ARCUSDT","-0.5","-20.3","-38.8","26.5","31","0.05138"
"AVAAIUSDT","-1.1","-8.5","46","142.3","31","0.007512"
"TRUMPUSDT","-0.7","-9.5","-13.3","16.2","31","1.456"
"MELANIAUSDT","0.7","-2.5","5.9","24.8","31","0.07927"
"VTHOUSDT","-0.4","-7.3","-6.2","21.3","31","0.0003393"
"ANIMEUSDT","-0.1","-8.5","-9.9","22.6","31","0.002511"
"PIPPINUSDT","0.4","-7.1","-6.2","49.1","31","0.01585"
