"symbol","grp","pump24h","pumpDate","ageDays","rangePct","baseRange","compress","volRatio","posInRange","r14d","r30d","ddFromHigh","upBars","oiChg48h","fundAvgPct"
"1000RATSUSDT","CTRL","28.8","06-24 07:00","953","14.8","8.7","1.7","0.65","30",,,"-16.9","20",,"0.0051"
"ACEUSDT","CTRL","122","07-19 10:00","951","36.6","4.1","8.9","12.91","14","-15.9","-16.4","-41.6","16","73.8","-0.0305"
"MOVRUSDT","CTRL","18","07-05 16:00","943","12.3","11.7","1.05","2.08","53","3.8",,"-12.8","22","-5.9","0.005"
"XAIUSDT","CTRL","10.3","06-20 05:00","928","6.4",,,,"38",,,"-9.6","27",,"0.0023"
"WIFUSDT","CTRL","20.5","06-26 15:00","919","12.8","9.8","1.31","1.44","48",,,"-19.2","23",,"-0.0033"
"MANTAUSDT","CTRL","80.9","06-27 15:00","919","13.1","9.1","1.44","2.18","28",,,"-8.4","22",,"0.005"
"ONDOUSDT","CTRL","18.6","07-20 14:00","917","5.9","7.8","0.75","0.65","47","4.9","0.5","-12.2","23","-5.7","-0.0043"
"LSKUSDT","CTRL","11","06-26 05:00","912","11.2","10.6","1.05","0.87","40",,,"-16.7","21",,"-0.0027"
"ALTUSDT","CTRL","10.6","07-09 14:00","912","7.5","11.6","0.65","0.62","40","10.6",,"-16.9","26","-0.4","0.005"
"JUPUSDT","CTRL","18.9","06-30 12:00","906","10.6","14.6","0.73","0.55","9","1.4",,"-14.5","19",,"-0.0056"
"ZETAUSDT","CTRL","13.7","06-26 02:00","905","18","12","1.5","1.25","17",,,"-20.1","23",,"0.0028"
"RONINUSDT","CTRL","10.7","06-19 11:00","901","16",,,,"7",,,"-13.6","22",,"0.0046"
"DYMUSDT","CTRL","15.1","07-03 15:00","900","5.8","19.7","0.3","0.58","62","-7.2",,"-24.9","23",,"0.005"
"PIXELUSDT","CTRL","14.2","07-01 01:00","887","9.8","12","0.81","0.74","8","-21.1",,"-22.9","17",,"0.0032"
"STRKUSDT","CTRL","9.3","06-28 21:00","886","6.4","5.6","1.15","0.92","22","-19",,"-24.6","19",,"0.0027"
"GLMUSDT","CTRL","18.7","06-29 16:00","885","9.9","6.2","1.6","1.38","22","-15.4",,"-16.2","19",,"-0.0483"
"PORTALUSDT","CTRL","22.5","06-17 10:00","877","55.8",,,,"36",,,"-22.9","21",,"-0.2746"
"AXLUSDT","CTRL","6.4","06-26 02:00","876","12","12.6","0.95","0.99","40",,,"-18.9","25",,"0.0044"
"METISUSDT","CTRL","15.6","06-19 09:00","866","8.6",,,,"40",,,"-4.8","23",,"0.005"
