"symbol","d1","d7","d30","runup","bars","price"
"BULLAUSDT","-3.3","26.4","89.6","122.8","31","0.011235"
"IDOLUSDT","-1","-11.2","-43.8","89.9","31","0.01517"
"MUSDT","2.2","1.9","60.3","245.5","31","1.2335"
"PUMPUSDT","-2.7","-10.5","32.8","82","31","0.001787"
"CROSSUSDT","1.1","10","-7.9","18.6","31","0.07696"
"AINUSDT","4","18.2","9","48.1","31","0.0879"
"CUSDT","-0.7","-4.1","-24.7","20","31","0.05973"
"VELVETUSDT","5.2","-6.5","-29.1","350.1","31","0.4807"
"TACUSDT","-1.2","2.4","-85.9","1255.9","31","0.003482"
"ERAUSDT","-13.8","32","-0.1","128.1","31","0.08264"
"TAUSDT","-2.9","-8.2","-11.8","60.2","31","0.06841"
"CVXUSDT","3.7","10","18.8","36.8","31","1.322"
"SLPUSDT","0.3","-1.8","17.3","52.5","31","0.0005441"
"ZORAUSDT","-0.7","-0.4","-12.9","18.4","31","0.006258"
"TAGUSDT","5.6","-8","7.5","294.4","31","0.001072"
"ESPORTSUSDT","25.8","187","108.7","415.4","31","0.06183"
"TREEUSDT","-4","8.7","-10.9","37.9","31","0.03799"
"PLAYUSDT","-6.5","7","16.7","39","31","0.037"
"NAORISUSDT","-1.1","-12","-11.1","50.2","31","0.03472"
"TOWNSUSDT","-1.3","-2.8","13.9","55.2","31","0.002204"
"PROVEUSDT","-1.4","1.2","-0.7","14.5","31","0.1912"
"ALLUSDT","0.9","1.4","1.5","12.9","31","0.4811"
"INUSDT","-0.4","-5.3","-60.9","306.8","31","0.03985"
"CARVUSDT","2.1","0.9","-26.5","33.5","31","0.03099"
"AIOUSDT","6.2","-1.2","25.1","46","31","0.1166"
"XNYUSDT","-11.1","10.3","39.9","69.9","31","0.006808"
"USELESSUSDT","8.2","0","-26.3","48.5","31","0.05706"
"SAPIENUSDT","-0.1","4.7","1.6","24.1","31","0.07756"
"XPLUSDT","-0.3","3.6","-19.8","37.6","31","0.08326"
"WLFIUSDT","-1.8","-2.8","-3.1","32.8","31","0.05607"
"SOMIUSDT","1.7","0.4","-1.9","33.4","31","0.0977"
"BASUSDT","-2.3","-1","-38.9","94.7","31","0.027881"
"BTRUSDT","1.9","4.5","-4.8","16.4","31","0.01781"
"MITOUSDT","-1.4","9.1","-6.9","37.5","31","0.02318"
"HEMIUSDT","-3.7","12.5","9.7","93.8","31","0.005087"
"LINEAUSDT","0.2","-0.5","3.4","16.9","31","0.002401"
"QUSDT","24.7","21.6","35.5","52.6","31","0.024433"
"ARIAUSDT","7.1","16.3","10.4","54.5","31","0.02903"
"TAKEUSDT","6.3","-5.9","25.8","69.9","31","0.02076"
"PTBUSDT","15.3","26.6","46.5","57.5","31","0.0007129"
