"symbol","pump24h","pumpDate","ageDays","compress","volRatio","pos","r14d","dd","oi","fund","compressLag","volRatioLag","posLag","r14dLag","ddLag","oiLag","fundLag"
"BREVUSDT","9.2","05-20 09:00","208","0.38","0.37","33","-10.2","-22.1",,"0.005","1.38","0.42","42","-5.3","-21.2",,"0.004"
"COLLECTUSDT","56.4","06-10 11:00","206","1.31","0.54","14","-25.9","-42.6",,"0.0223","1","0.46","7","-24.2","-38.9",,"0.0286"
"MAGMAUSDT","63.8","06-03 03:00","206","0.98","0.96","72","9.1","-3",,"0.0081","0.64","0.96","82","6.9","-2.9",,"-0.0007"
"ZAMAUSDT","14.6","05-20 08:00","198","0.81","1.07","91","-9.7","-11.2",,"0.0038","1.12","1.01","99","-7.1","-11.5",,"0.0049"
"FOGOUSDT","21.6","05-18 23:00","196","0.83","0.7","51","-14.9","-26.7",,"0.005","0.66","0.44","9","-10.8","-25.8",,"0.005"
"FRAXUSDT","8.2","05-20 19:00","192","0.46","0.5","48","-12.9","-20.6",,"-0.0001","1.03","0.74","34","-11.9","-21.1",,"-0.0058"
"SPORTFUNUSDT","24.7","05-24 08:00","190","1","0.62","32","-33.4","-45.1",,"0.0128","1.13","0.81","5","-42.4","-45.6",,"0.0087"
"AIAUSDT","64.5","05-16 04:00","187","0.61","0.98","84","0.2","-12.1",,"0.0189","1.09","0.59","79","-7.4","-17.3",,"0.0156"
"ACUUSDT","21.3","05-31 09:00","186","0.75","0.5","4","-9.8","-36.3",,"0.005","1.19","0.8","16","-4.6","-34.7",,"0.005"
"ELSAUSDT","8","06-11 00:00","185","0.65","1.14","25","-33.4","-48.6",,"0.005","0.76","0.37","28","-35.2","-48.5",,"0.005"
"SKRUSDT","9.8","06-09 02:00","185","1.49","1.24","52","-33.2","-45",,"0.0046","2.19","1.23","23","-33.3","-45.6",,"0.0041"
"SPACEUSDT","49.4","06-10 11:00","184","0.56","0.6","20","-21","-40.7",,"0.005","1.72","0.73","82","-14","-36.8",,"0.005"
"FIGHTUSDT","45.6","06-10 05:00","184","0.33","0.43","8","-32.9","-47.1",,"0.005","0.36","0.49","28","-31.9","-45.1",,"0.005"
"BIRBUSDT","25.2","06-09 16:00","178","1.17","0.65","3","-41.9","-53.2",,"0.005","1","0.53","58","-40.3","-49.2",,"0.005"
"GWEIUSDT","43.4","06-06 02:00","178","0.78","0.82","80","-11.4","-36.5",,"0.0117","1.68","1.25","14","-15.4","-40",,"0.02"
"MEGAUSDT","38","06-13 00:00","177","0.58","0.73","66","-24","-65.5",,"0.0023","0.83","0.76","73","-28.9","-65.9",,"0.0036"
"INXUSDT","41.3","06-10 21:00","176","0.73","0.68","7","-19.6","-65.8",,"0.005","0.9","0.66","40","-21.2","-64",,"0.005"
"TRIAUSDT","10.7","05-13 16:00","170","1.5","1.14","61","69.7","-7.7",,"0.0408","1.1","1.22","79","51.4","-13.1",,"0.0435"
"ESPUSDT","16.8","06-12 11:00","166","0.4","0.44","64","1.5","-14.9",,"0.0046","1.04","0.54","39","2","-15.8",,"0.0046"
"AZTECUSDT","26.9","05-25 13:00","165","1.09","0.75","87","-7.7","-17.7",,"0.005","1","0.72","33","-15.5","-22",,"0.005"
"OPNUSDT","106","06-02 19:00","154","2.82","2.02","43","-27.6","-44",,"0.0039","0.68","0.83","59","-22.6","-37.7",,"0.005"
"ROBOUSDT","16.6","06-04 09:00","149","0.84","1.83","25","-14.2","-24.3",,"0.0045","0.66","1.3","62","-11","-21.6",,"0.0045"
"KATUSDT","35.1","06-09 02:00","146","1.27","0.61","61","-34.8","-50.4",,"0.0044","2.09","0.7","88","-35.5","-50.6",,"0.0039"
"MANTRAUSDT","15.4","05-30 11:00","144","0.46","0.65","75","-14.4","-31.6",,"0.0025","1.33","1.13","17","-22.7","-33.4",,"0.0012"
"CFGUSDT","16.6","05-18 00:00","131","0.47","0.32","36","23.4","-26.2",,"0.005","0.57","0.31","23","22","-26.2",,"0.0017"
"EDGEUSDT","104.9","06-01 21:00","128","2.7","1.04","0","-14.6","-28.9",,"0.0079","1.12","1.07","40","5","-16",,"0.0098"
"BSBUSDT","129.9","05-22 15:00","123","16.51","3.77","2","-13.9","-76.7",,"0.0051","9.91","7.51","18","119.3","-63.5",,"0.004"
"XAUTUSDT","4.6","06-10 22:00","121","2.74","1.8","3","-8.6","-14.5",,"0.0015","1.46","1.3","19","-5.8","-10.8",,"0.0021"
